Day,Type,Duration
1,Type 1,0.3545802806942069
1,Type 1,0.4544787297664215
1,Type 1,0.4967832768884205
1,Type 1,0.45692340402919185
1,Type 1,0.4092255429421846
1,Type 1,0.49259844392475605
1,Type 1,0.47909185803659526
1,Type 1,0.48678381102658747
1,Type 1,0.26780117323323166
1,Type 1,0.39031551995557845
1,Type 1,0.3625970599067653
1,Type 1,0.7141738475024562
1,Type 1,0.36383177088756086
1,Type 1,0.5508511931641653
1,Type 1,0.2649282679929918
1,Type 1,0.3896215023103042
1,Type 1,0.28909471385787167
1,Type 1,0.4472733003187589
1,Type 1,0.6049396863246195
1,Type 1,0.3417361771512927
1,Type 1,0.5053230970829056
1,Type 1,0.5038517400378641
1,Type 1,0.49079972128749116
1,Type 1,0.40648197049540813
1,Type 1,0.4134076486002269
1,Type 1,0.4417101370128645
1,Type 1,0.4486531626984192
1,Type 1,0.4437382936281835
1,Type 1,0.5042968623233985
1,Type 1,0.4161995634064479
1,Type 1,0.4816934049477964
2,Type 1,0.47563394116913377
2,Type 1,0.5338180230536375
2,Type 1,0.2110372083063362
2,Type 1,0.48821551756395715
2,Type 1,0.1937655241631999
2,Type 1,0.423032470905972
2,Type 1,0.1871352765697932
2,Type 1,0.5596878303531534
2,Type 1,0.3449378438211881
2,Type 1,0.6400862529749312
2,Type 1,0.44895253723092876
2,Type 1,0.5105514514992797
2,Type 1,0.48430188197440344
2,Type 1,0.6034050600267753
2,Type 1,0.4256161848212966
3,Type 1,0.4626167617440312
3,Type 1,0.40325599867714396
3,Type 1,0.4436043247156888
3,Type 1,0.5796039174886809
3,Type 1,0.25639327811412416
3,Type 1,0.37484732183869013
3,Type 1,0.5283550227781939
3,Type 1,0.32477227897818994
3,Type 1,0.5294742196491944
3,Type 1,0.3871668990394865
3,Type 1,0.3715862827050888
3,Type 1,0.40966640615844674
3,Type 1,0.4453121433540721
3,Type 1,0.39529218472821026
3,Type 1,0.5763810929197555
3,Type 1,0.39343283597150314
3,Type 1,0.5449492009090782
3,Type 1,0.5355045394066827
3,Type 1,0.4089145797758581
3,Type 1,0.5644406987922587
3,Type 1,0.6082376643366385
3,Type 1,0.49265233792454827
3,Type 1,0.5151316628725058
3,Type 1,0.2598693234302424
3,Type 1,0.4878044231522553
4,Type 1,0.38763449598535005
4,Type 1,0.4521117779352211
4,Type 1,0.5485316411492043
4,Type 1,0.3641305289220445
4,Type 1,0.49338275300398815
4,Type 1,0.1465639045292229
4,Type 1,0.48970300479211293
4,Type 1,0.2719100272205925
4,Type 1,0.26852569260214904
4,Type 1,0.3981013065281179
4,Type 1,0.38036123863381777
4,Type 1,0.42844497096022444
4,Type 1,0.18261594725375827
4,Type 1,0.3236754836245951
4,Type 1,0.6062519989511224
4,Type 1,0.42816363898320176
4,Type 1,0.32527399032309856
4,Type 1,0.49820948680921573
4,Type 1,0.40595100057303873
4,Type 1,0.5051120204048383
4,Type 1,0.39511571484840996
4,Type 1,0.6139950549123
4,Type 1,0.4475655563967927
4,Type 1,0.4625005066797037
4,Type 1,0.25137235587189055
5,Type 1,0.34614432664700284
5,Type 1,0.5211708644224775
5,Type 1,0.25926757003310535
5,Type 1,0.4166591570057932
5,Type 1,0.5114750147548028
5,Type 1,0.4371646690362162
5,Type 1,0.3905796165100716
5,Type 1,0.5142772527243122
5,Type 1,0.6021427866831213
5,Type 1,0.4745836649998718
5,Type 1,0.5807362720271547
5,Type 1,0.5251040962945447
5,Type 1,0.37431025898475134
5,Type 1,0.45428804856181426
5,Type 1,0.5746026242725345
5,Type 1,0.3116421186455505
5,Type 1,0.3157190763773036
5,Type 1,0.3728450927122516
5,Type 1,0.20140440640066762
5,Type 1,0.41209265424778907
6,Type 1,0.27181558536051154
6,Type 1,0.20920991248485443
6,Type 1,0.44959265108502156
6,Type 1,0.4966231848259948
6,Type 1,0.5431387883527016
6,Type 1,0.4014709204450047
6,Type 1,0.2571806669814697
6,Type 1,0.4470096166641034
6,Type 1,0.34118770240963875
6,Type 1,0.25752331243083704
6,Type 1,0.5417678837388408
6,Type 1,0.25588150699276213
6,Type 1,0.5163380641152949
6,Type 1,0.3218414525040725
6,Type 1,0.46505192515532845
7,Type 1,0.37539235840349494
7,Type 1,0.4987219964763106
7,Type 1,0.2561577990614541
7,Type 1,0.22382248949009995
7,Type 1,0.32744854457896433
7,Type 1,0.48485961569916447
7,Type 1,0.4642595193623292
7,Type 1,0.4536405595254442
7,Type 1,0.4599889526641847
7,Type 1,0.3280676596364416
7,Type 1,0.4863996461598968
7,Type 1,0.32639961051904703
7,Type 1,0.2933498707074714
7,Type 1,0.4500900191924686
7,Type 1,0.3430166925655692
7,Type 1,0.28318023861076225
7,Type 1,0.40570304138067814
7,Type 1,0.4804311277545582
7,Type 1,0.3961358625078166
8,Type 1,0.5511632138747968
8,Type 1,0.3392454139333482
8,Type 1,0.46256541104852344
8,Type 1,0.3489037381814729
8,Type 1,0.3930572352905118
8,Type 1,0.48861846697373107
8,Type 1,0.3908694256558023
8,Type 1,0.4607724997717973
8,Type 1,0.42133206902236026
8,Type 1,0.43100370396908017
8,Type 1,0.4837566706315984
8,Type 1,0.5771200124545518
8,Type 1,0.29243458510730524
8,Type 1,0.34004639003773973
8,Type 1,0.45959695278207957
8,Type 1,0.7261835477270994
8,Type 1,0.48989247762441923
8,Type 1,0.6032226049694471
8,Type 1,0.29044598274267697
9,Type 1,0.587200246615965
9,Type 1,0.43624861855212466
9,Type 1,0.4522936891279128
9,Type 1,0.4579505059718517
9,Type 1,0.5301288728875857
9,Type 1,0.4986092395427637
9,Type 1,0.45795694650066177
9,Type 1,0.5296404300810873
9,Type 1,0.7430208884970817
9,Type 1,0.33749780849020694
9,Type 1,0.3791533872122868
9,Type 1,0.379597076823321
9,Type 1,0.42751725057385426
9,Type 1,0.38272928446092047
10,Type 1,0.36644437068059016
10,Type 1,0.254729464137214
10,Type 1,0.30411128665637915
10,Type 1,0.31296122543828675
10,Type 1,0.2956891669101784
10,Type 1,0.38406114324060064
10,Type 1,0.5430198654548585
10,Type 1,0.4641455423831838
10,Type 1,0.39001765562616486
10,Type 1,0.5758518653691228
10,Type 1,0.37082765596401707
10,Type 1,0.3821809347992789
10,Type 1,0.34617375718073223
10,Type 1,0.4066301084540803
10,Type 1,0.48341891708222323
11,Type 1,0.6420410412221936
11,Type 1,0.3267553597154488
11,Type 1,0.458779932234488
11,Type 1,0.4105095564659721
11,Type 1,0.42781023155349823
11,Type 1,0.4068047178356369
11,Type 1,0.3618227488154377
11,Type 1,0.4463915374063502
11,Type 1,0.4438440853642493
11,Type 1,0.518201383352821
11,Type 1,0.6650977054126939
11,Type 1,0.39785045505059285
11,Type 1,0.5840739813018112
11,Type 1,0.5893750518240153
11,Type 1,0.4525165775838067
12,Type 1,0.4437864698094199
12,Type 1,0.23519351094528296
12,Type 1,0.47345958661904347
12,Type 1,0.5180168313104238
12,Type 1,0.22695609312528905
12,Type 1,0.5100352498282952
12,Type 1,0.21328432320652801
12,Type 1,0.3661886589692588
12,Type 1,0.4198833974934131
12,Type 1,0.44634758967137944
12,Type 1,0.4150119358742123
12,Type 1,0.5547324808766565
12,Type 1,0.5093087497675924
12,Type 1,0.4400181590834669
12,Type 1,0.48463892415865995
12,Type 1,0.3225173777180593
13,Type 1,0.565922712483331
13,Type 1,0.40538368702188887
13,Type 1,0.4956520616603961
13,Type 1,0.38911975216964284
13,Type 1,0.2974259125924118
13,Type 1,0.4783866885345919
13,Type 1,0.47945612498808365
13,Type 1,0.4022234862841632
13,Type 1,0.1800431974992959
13,Type 1,0.3326284007620294
13,Type 1,0.554685672313911
13,Type 1,0.5047942919280277
13,Type 1,0.5007177420240713
13,Type 1,0.4871571211879285
13,Type 1,0.43798238585134935
13,Type 1,0.44666399099638715
13,Type 1,0.5539829744920213
13,Type 1,0.3351537090036644
13,Type 1,0.554429612923297
14,Type 1,0.4496026042611265
14,Type 1,0.4784197390591593
14,Type 1,0.4221336495507569
14,Type 1,0.36610481534154354
14,Type 1,0.299942478125661
14,Type 1,0.325753260361786
14,Type 1,0.39135943781318655
14,Type 1,0.3420900570860645
14,Type 1,0.5345319261263876
14,Type 1,0.44584684410964925
14,Type 1,0.2684726282379002
14,Type 1,0.47773435837444833
14,Type 1,0.46236666934921555
14,Type 1,0.44135211849748934
14,Type 1,0.47005222837987104
14,Type 1,0.5034641358698893
14,Type 1,0.4990120205058244
14,Type 1,0.5204847137468502
15,Type 1,0.28223133859367217
15,Type 1,0.33036489675325004
15,Type 1,0.2844235027199262
15,Type 1,0.3548829982690304
15,Type 1,0.5028618717797613
15,Type 1,0.4553185460892012
15,Type 1,0.34854431213768083
15,Type 1,0.4243560493746256
15,Type 1,0.4247744078526653
15,Type 1,0.385726377633373
15,Type 1,0.3493357599161907
15,Type 1,0.40964818097659356
15,Type 1,0.48131080463129405
15,Type 1,0.43237686335993863
16,Type 1,0.5115902390358584
16,Type 1,0.5229863260683523
16,Type 1,0.3663567916092038
16,Type 1,0.5881479325222652
16,Type 1,0.43123616859633457
16,Type 1,0.45838050588639934
16,Type 1,0.19773813373899002
16,Type 1,0.36238597491170227
16,Type 1,0.4455252152584421
16,Type 1,0.342647445525377
16,Type 1,0.3885462293703333
16,Type 1,0.37330925741184984
16,Type 1,0.5752439788349679
16,Type 1,0.38182114390255706
17,Type 1,0.32991211079856725
17,Type 1,0.45238561905976366
17,Type 1,0.3491349785786944
17,Type 1,0.44357965496069185
17,Type 1,0.5153275358126065
17,Type 1,0.38271431521987676
17,Type 1,0.5713227631185078
17,Type 1,0.57563702686757
17,Type 1,0.4202848046704311
17,Type 1,0.4565202650349354
17,Type 1,0.3532748838307851
17,Type 1,0.6076695416609558
17,Type 1,0.615028992945377
17,Type 1,0.49760486778023877
17,Type 1,0.57186341291102
17,Type 1,0.4588150272924646
17,Type 1,0.39914445154085126
17,Type 1,0.5404583065696238
18,Type 1,0.42330704480735026
18,Type 1,0.2356579685503354
18,Type 1,0.4981180511968942
18,Type 1,0.4990793995500983
18,Type 1,0.40497212519864567
18,Type 1,0.41593232191633545
18,Type 1,0.3570607446340845
18,Type 1,0.42974490453776715
18,Type 1,0.3824362174498617
18,Type 1,0.49990949308154803
18,Type 1,0.4093416835283634
18,Type 1,0.5152749553224716
18,Type 1,0.17155655658772384
19,Type 1,0.7237231150256586
19,Type 1,0.2985185294189726
19,Type 1,0.6383525894132385
19,Type 1,0.47235951329503756
19,Type 1,0.5585066295270433
19,Type 1,0.37624453053060725
19,Type 1,0.47548759914774924
19,Type 1,0.4380164136886046
19,Type 1,0.3760760666250986
19,Type 1,0.3874214658370792
20,Type 1,0.4716564358108056
20,Type 1,0.3413854465601205
20,Type 1,0.4650109130553937
20,Type 1,0.4169110674367065
20,Type 1,0.2578959919992134
20,Type 1,0.5695641205203198
20,Type 1,0.4649480711957318
20,Type 1,0.47172722169880205
20,Type 1,0.49930805949172963
20,Type 1,0.4108311334113746
20,Type 1,0.34908043091721885
20,Type 1,0.4384424539720513
20,Type 1,0.3845986157181617
20,Type 1,0.505095435049389
20,Type 1,0.36121976089557883
20,Type 1,0.528820142932269
20,Type 1,0.2804198300225526
20,Type 1,0.4834014055525105
21,Type 1,0.5105434283587477
21,Type 1,0.4218218377445042
21,Type 1,0.49572761068077315
21,Type 1,0.4560312187634631
21,Type 1,0.628846084643794
21,Type 1,0.38852369514831026
21,Type 1,0.42242156544080206
21,Type 1,0.4913079350046671
21,Type 1,0.5163058816006423
21,Type 1,0.32168901745309686
21,Type 1,0.2849333409168564
22,Type 1,0.41551301305019034
22,Type 1,0.34882037447086306
22,Type 1,0.33130040629066326
22,Type 1,0.49691550897661924
22,Type 1,0.3793711089419639
22,Type 1,0.43240755609903336
22,Type 1,0.2977983590169935
22,Type 1,0.3881808264268943
22,Type 1,0.47314756839060196
22,Type 1,0.29993095573339057
22,Type 1,0.4007221305765333
22,Type 1,0.40961052937309983
22,Type 1,0.4898393144069298
22,Type 1,0.4341821902816385
22,Type 1,0.35871528706726946
23,Type 1,0.27060924395678926
23,Type 1,0.42894448102321325
23,Type 1,0.39700317685223374
23,Type 1,0.47263565888417175
23,Type 1,0.4096252662238022
23,Type 1,0.46483110184405946
23,Type 1,0.27753033648496894
23,Type 1,0.38959488126513175
23,Type 1,0.4569648345066871
23,Type 1,0.36148696747082454
23,Type 1,0.5163265995530453
23,Type 1,0.2801618124234433
23,Type 1,0.4532728102565406
23,Type 1,0.39329581582403744
23,Type 1,0.37594746071500196
23,Type 1,0.46145388413062244
23,Type 1,0.40601531136134267
23,Type 1,0.39856542825301167
23,Type 1,0.5567554046713086
23,Type 1,0.577624146575156
23,Type 1,0.34543345619855426
23,Type 1,0.409431345924231
23,Type 1,0.33013102427015156
23,Type 1,0.31783972490422674
23,Type 1,0.48366349697858424
23,Type 1,0.43076366348424255
24,Type 1,0.5071595270030904
24,Type 1,0.43254348514743735
24,Type 1,0.33078852046646534
24,Type 1,0.3746484478381186
24,Type 1,0.60500474978496
24,Type 1,0.4706782448260153
24,Type 1,0.5296337137119613
24,Type 1,0.420587618105252
24,Type 1,0.3056824119301886
24,Type 1,0.5453734878543306
24,Type 1,0.4833356357072152
24,Type 1,0.4803202977845523
24,Type 1,0.44918853463875635
24,Type 1,0.4661596271986347
24,Type 1,0.47822268105484433
24,Type 1,0.2603839268143109
24,Type 1,0.5953526885614487
24,Type 1,0.519835155382272
25,Type 1,0.27700483863410463
25,Type 1,0.4321228252187553
25,Type 1,0.4670716401082244
25,Type 1,0.5364021229427786
25,Type 1,0.43338526697765595
25,Type 1,0.4089965836740956
25,Type 1,0.39892886626453256
25,Type 1,0.43217869137547305
25,Type 1,0.4008179520322686
25,Type 1,0.48514062736913083
25,Type 1,0.4604359421770213
25,Type 1,0.45111587133124276
25,Type 1,0.4435054778566534
25,Type 1,0.6146668265487206
25,Type 1,0.32387588394535816
25,Type 1,0.5266321447195959
25,Type 1,0.30472376531981005
25,Type 1,0.7413628487988277
25,Type 1,0.38997388500340885
25,Type 1,0.4289531951945409
25,Type 1,0.4541048428266904
26,Type 1,0.591903332400378
26,Type 1,0.41728016351465824
26,Type 1,0.4772584996924784
26,Type 1,0.6179822963378335
26,Type 1,0.3554124878654048
26,Type 1,0.557331197941138
26,Type 1,0.6011642136698793
26,Type 1,0.4895215183676829
26,Type 1,0.3859042528752494
26,Type 1,0.6474379803775152
26,Type 1,0.5614920923166469
26,Type 1,0.3906803592889962
26,Type 1,0.43644482753100367
26,Type 1,0.5254023717008837
26,Type 1,0.49700021357734975
26,Type 1,0.37477309832971556
27,Type 1,0.5019204856612741
27,Type 1,0.2201988585077783
27,Type 1,0.6877450782480072
27,Type 1,0.46701318761591704
27,Type 1,0.40894051827371836
27,Type 1,0.42649161518425166
27,Type 1,0.5043793355602743
27,Type 1,0.35694863427527923
27,Type 1,0.4332617989814353
27,Type 1,0.5218597777366629
27,Type 1,0.5259706980269427
27,Type 1,0.37614694828823636
27,Type 1,0.46134681270741895
27,Type 1,0.5162579484692933
27,Type 1,0.4211437240838544
27,Type 1,0.6282589685053304
27,Type 1,0.5530746621639175
27,Type 1,0.36515814783846595
27,Type 1,0.40644378794479863
28,Type 1,0.45840665349899734
28,Type 1,0.4456438638016816
28,Type 1,0.4457697223566594
28,Type 1,0.46198374966328026
28,Type 1,0.3248755619225691
28,Type 1,0.643501847047337
28,Type 1,0.3806657213913765
28,Type 1,0.47134531007231617
28,Type 1,0.3119507972953905
28,Type 1,0.5092294910185495
